,time,temperature,Na2SO4,Na2CO3,target
317,66.0,60.0,30.0,10,0.904
318,66.0,60.0,30.0,15,0.9129999999999999
319,66.0,60.0,30.0,20,0.929
320,69.0,60.0,30.0,0,0.604
321,69.0,60.0,30.0,5,0.884
322,69.0,60.0,30.0,10,0.909
323,69.0,60.0,30.0,15,0.917
324,69.0,60.0,30.0,20,0.932
325,72.0,60.0,30.0,0,0.604
326,72.0,60.0,30.0,5,0.8909999999999999
327,72.0,60.0,30.0,10,0.912
328,72.0,60.0,30.0,15,0.92
329,72.0,60.0,30.0,20,0.9329999999999999
330,75.0,60.0,30.0,0,0.604
331,75.0,60.0,30.0,5,0.8959999999999999
332,75.0,60.0,30.0,10,0.915
333,75.0,60.0,30.0,15,0.922
334,75.0,60.0,30.0,20,0.935
335,78.0,60.0,30.0,0,0.604
336,78.0,60.0,30.0,5,0.9
337,78.0,60.0,30.0,10,0.917
338,78.0,60.0,30.0,15,0.9229999999999999
339,78.0,60.0,30.0,20,0.9359999999999999
340,81.0,60.0,30.0,0,0.604
341,81.0,60.0,30.0,5,0.903
342,81.0,60.0,30.0,10,0.919
343,81.0,60.0,30.0,15,0.925
344,81.0,60.0,30.0,20,0.9359999999999999
345,84.0,60.0,30.0,0,0.604
346,84.0,60.0,30.0,5,0.905
347,84.0,60.0,30.0,10,0.92
348,84.0,60.0,30.0,15,0.9259999999999999
349,84.0,60.0,30.0,20,0.937
350,87.0,60.0,30.0,0,0.604
351,87.0,60.0,30.0,5,0.907
352,87.0,60.0,30.0,10,0.9209999999999999
353,87.0,60.0,30.0,15,0.927
354,87.0,60.0,30.0,20,0.938
355,90.0,60.0,30.0,0,0.604
356,90.0,60.0,30.0,5,0.909
357,90.0,60.0,30.0,10,0.922
358,90.0,60.0,30.0,15,0.9279999999999999
359,90.0,60.0,30.0,20,0.938
360,93.0,60.0,30.0,0,0.604
361,93.0,60.0,30.0,5,0.9109999999999999
362,93.0,60.0,30.0,10,0.9229999999999999
363,93.0,60.0,30.0,15,0.9279999999999999
364,93.0,60.0,30.0,20,0.9390000000000001
365,96.0,60.0,30.0,0,0.604
366,96.0,60.0,30.0,5,0.912
367,96.0,60.0,30.0,10,0.9229999999999999
368,96.0,60.0,30.0,15,0.929
369,96.0,60.0,30.0,20,0.9390000000000001
370,99.0,60.0,30.0,0,0.604
371,99.0,60.0,30.0,5,0.9129999999999999
372,99.0,60.0,30.0,10,0.924
373,99.0,60.0,30.0,15,0.93
374,99.0,60.0,30.0,20,0.94
375,102.0,60.0,30.0,0,0.604
376,102.0,60.0,30.0,5,0.914
377,102.0,60.0,30.0,10,0.924
378,102.0,60.0,30.0,15,0.93
379,102.0,60.0,30.0,20,0.94
380,105.0,60.0,30.0,0,0.604
381,105.0,60.0,30.0,5,0.915
382,105.0,60.0,30.0,10,0.925
383,105.0,60.0,30.0,15,0.9309999999999999
384,105.0,60.0,30.0,20,0.94
385,108.0,60.0,30.0,0,0.604
386,108.0,60.0,30.0,5,0.9159999999999999
387,108.0,60.0,30.0,10,0.925
388,108.0,60.0,30.0,15,0.9309999999999999
389,108.0,60.0,30.0,20,0.941
390,111.0,60.0,30.0,0,0.604
391,111.0,60.0,30.0,5,0.9159999999999999
392,111.0,60.0,30.0,10,0.9259999999999999
393,111.0,60.0,30.0,15,0.932
394,111.0,60.0,30.0,20,0.941
395,114.0,60.0,30.0,0,0.604
396,114.0,60.0,30.0,5,0.917
397,114.0,60.0,30.0,10,0.9259999999999999
398,114.0,60.0,30.0,15,0.932
399,114.0,60.0,30.0,20,0.941
400,117.0,60.0,30.0,0,0.604
401,117.0,60.0,30.0,5,0.917
402,117.0,60.0,30.0,10,0.9259999999999999
403,117.0,60.0,30.0,15,0.932
404,117.0,60.0,30.0,20,0.941
405,120.0,60.0,30.0,0,0.604
406,120.0,60.0,30.0,5,0.9179999999999999
407,120.0,60.0,30.0,10,0.927
408,120.0,60.0,30.0,15,0.932
409,120.0,60.0,30.0,20,0.941
410,0.0,30.0,50.0,0,0.0
411,0.0,30.0,50.0,5,0.0
412,0.0,30.0,50.0,10,0.0
413,0.0,30.0,50.0,15,0.0
414,0.0,30.0,50.0,20,0.0
415,3.0,30.0,50.0,0,0.32799999999999996
416,3.0,30.0,50.0,5,0.318
417,3.0,30.0,50.0,10,0.306
418,3.0,30.0,50.0,15,0.32799999999999996
419,3.0,30.0,50.0,20,0.361
420,6.0,30.0,50.0,0,0.504
421,6.0,30.0,50.0,5,0.494
422,6.0,30.0,50.0,10,0.488
423,6.0,30.0,50.0,15,0.506
424,6.0,30.0,50.0,20,0.527
425,9.0,30.0,50.0,0,0.586
426,9.0,30.0,50.0,5,0.578
427,9.0,30.0,50.0,10,0.574
428,9.0,30.0,50.0,15,0.5870000000000001
429,9.0,30.0,50.0,20,0.603
430,12.0,30.0,50.0,0,0.634
431,12.0,30.0,50.0,5,0.628
432,12.0,30.0,50.0,10,0.625
433,12.0,30.0,50.0,15,0.634
434,12.0,30.0,50.0,20,0.647
435,15.0,30.0,50.0,0,0.664
436,15.0,30.0,50.0,5,0.66
437,15.0,30.0,50.0,10,0.6579999999999999
438,15.0,30.0,50.0,15,0.664
439,15.0,30.0,50.0,20,0.675
440,18.0,30.0,50.0,0,0.6859999999999999
441,18.0,30.0,50.0,5,0.682
442,18.0,30.0,50.0,10,0.6809999999999999
443,18.0,30.0,50.0,15,0.685
444,18.0,30.0,50.0,20,0.6940000000000001
445,21.0,30.0,50.0,0,0.684
446,21.0,30.0,50.0,5,0.684
447,21.0,30.0,50.0,10,0.682
448,21.0,30.0,50.0,15,0.685
449,21.0,30.0,50.0,20,0.6940000000000001
450,24.0,30.0,50.0,0,0.684
451,24.0,30.0,50.0,5,0.7190000000000001
452,24.0,30.0,50.0,10,0.7559999999999999
453,24.0,30.0,50.0,15,0.747
454,24.0,30.0,50.0,20,0.765
455,27.0,32.0,50.0,0,0.684
456,27.0,32.0,50.0,5,0.782
457,27.0,32.0,50.0,10,0.809
458,27.0,32.0,50.0,15,0.815
459,27.0,32.0,50.0,20,0.8320000000000001
460,30.0,35.0,50.0,0,0.684
461,30.0,35.0,50.0,5,0.8109999999999999
462,30.0,35.0,50.0,10,0.828
463,30.0,35.0,50.0,15,0.838
464,30.0,35.0,50.0,20,0.853
465,33.0,38.0,50.0,0,0.684
466,33.0,38.0,50.0,5,0.8240000000000001
467,33.0,38.0,50.0,10,0.84
468,33.0,38.0,50.0,15,0.852
469,33.0,38.0,50.0,20,0.866
470,36.0,41.0,50.0,0,0.684
471,36.0,41.0,50.0,5,0.831
472,36.0,41.0,50.0,10,0.848
473,36.0,41.0,50.0,15,0.862
474,36.0,41.0,50.0,20,0.8759999999999999
475,39.0,44.0,50.0,0,0.684
476,39.0,44.0,50.0,5,0.836
477,39.0,44.0,50.0,10,0.856
478,39.0,44.0,50.0,15,0.872
479,39.0,44.0,50.0,20,0.8859999999999999
480,42.0,47.0,50.0,0,0.684
481,42.0,47.0,50.0,5,0.8420000000000001
482,42.0,47.0,50.0,10,0.865
483,42.0,47.0,50.0,15,0.883
484,42.0,47.0,50.0,20,0.8959999999999999
485,45.0,50.0,50.0,0,0.684
486,45.0,50.0,50.0,5,0.8490000000000001
487,45.0,50.0,50.0,10,0.8759999999999999
488,45.0,50.0,50.0,15,0.894
489,45.0,50.0,50.0,20,0.907
490,48.0,53.0,50.0,0,0.684
491,48.0,53.0,50.0,5,0.857
492,48.0,53.0,50.0,10,0.887
493,48.0,53.0,50.0,15,0.904
494,48.0,53.0,50.0,20,0.917
495,51.0,56.0,50.0,0,0.684
496,51.0,56.0,50.0,5,0.867
497,51.0,56.0,50.0,10,0.898
498,51.0,56.0,50.0,15,0.915
499,51.0,56.0,50.0,20,0.9259999999999999
500,54.0,59.0,50.0,0,0.684
501,54.0,59.0,50.0,5,0.878
502,54.0,59.0,50.0,10,0.9079999999999999
503,54.0,59.0,50.0,15,0.924
504,54.0,59.0,50.0,20,0.932
505,57.0,60.0,50.0,0,0.684
506,57.0,60.0,50.0,5,0.89
507,57.0,60.0,50.0,10,0.917
